                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.98971,                0.42764,                  1.008,                0.98278,                0.96033,                0.98422,                0.72021,                 1.0494,                 0.3473,                  1.003,              0.0082774,              0.0082774,              0.0082774
                     90,                 0.9853,                0.42829,                 1.0086,                0.98277,                 0.9609,                0.98429,                0.72001,                 1.0495,                0.34698,                 1.0033,              0.0082576,              0.0082576,              0.0082576
                     91,                0.99264,                0.43107,                 1.0051,                0.98381,                0.96141,                 0.9847,                0.71997,                 1.0493,                 0.3467,                 1.0033,              0.0082378,              0.0082378,              0.0082378
                     92,                0.98601,                 0.4264,                 1.0037,                0.98155,                0.96359,                0.98471,                0.71939,                 1.0491,                0.34634,                 1.0036,               0.008218,               0.008218,               0.008218
                     93,                0.98583,                0.42767,                 1.0059,                0.98141,                0.96359,                0.98468,                0.71959,                 1.0489,                0.34595,                 1.0036,              0.0081982,              0.0081982,              0.0081982
                     94,                0.98394,                0.42893,                  1.006,                0.98173,                0.96381,                  0.985,                0.72037,                 1.0487,                  0.346,                 1.0032,              0.0081784,              0.0081784,              0.0081784
                     95,                0.98443,                 0.4274,                 1.0049,                0.98156,                0.96359,                0.98487,                0.72055,                 1.0486,                0.34577,                 1.0031,              0.0081586,              0.0081586,              0.0081586
                     96,                0.98618,                0.42583,                 1.0074,                0.98156,                0.96359,                0.98477,                 0.7205,                 1.0482,                0.34546,                 1.0029,              0.0081388,              0.0081388,              0.0081388
                     97,                0.98041,                0.42588,                0.99851,                0.98146,                0.96359,                0.98452,                 0.7208,                 1.0479,                0.34592,                 1.0022,               0.008119,               0.008119,               0.008119
                     98,                0.98632,                0.42678,                 1.0012,                0.98135,                0.96359,                0.98456,                0.72106,                 1.0479,                0.34545,                  1.002,              0.0080992,              0.0080992,              0.0080992
                     99,                 0.9794,                0.42484,                 1.0033,                0.98164,                0.96359,                0.98457,                0.72094,                 1.0475,                0.34496,                 1.0021,              0.0080794,              0.0080794,              0.0080794
                    100,                0.98557,                0.42767,                 1.0047,                0.98253,                0.96359,                0.98476,                0.72079,                 1.0476,                0.34481,                 1.0022,              0.0080596,              0.0080596,              0.0080596
                    101,                0.97834,                0.42641,                 1.0023,                0.98254,                0.96359,                0.98499,                0.72115,                 1.0476,                0.34504,                 1.0017,              0.0080398,              0.0080398,              0.0080398
                    102,                0.97204,                0.42307,                 1.0043,                0.98253,                0.96359,                0.98502,                0.72209,                 1.0477,                  0.345,                  1.002,                0.00802,                0.00802,                0.00802
                    103,                0.98017,                0.42868,                 1.0057,                0.98251,                0.96359,                0.98497,                0.72209,                 1.0476,                0.34502,                 1.0019,              0.0080002,              0.0080002,              0.0080002
                    104,                0.97725,                0.42188,                 1.0008,                0.98319,                0.96304,                0.98487,                0.72165,                 1.0474,                0.34496,                 1.0016,              0.0079804,              0.0079804,              0.0079804
                    105,                0.97753,                0.42924,                 0.9978,                0.98389,                0.96248,                0.98479,                0.72213,                 1.0474,                0.34506,                 1.0013,              0.0079606,              0.0079606,              0.0079606
                    106,                0.97566,                0.42696,                 1.0024,                0.98254,                0.96304,                0.98479,                0.72228,                 1.0476,                0.34506,                 1.0012,              0.0079408,              0.0079408,              0.0079408
                    107,                0.97784,                0.42251,                 1.0051,                0.98292,                 0.9625,                 0.9851,                0.72232,                 1.0475,                0.34495,                 1.0013,               0.007921,               0.007921,               0.007921
                    108,                0.97271,                 0.4207,                0.99832,                 0.9828,                0.96264,                 0.9852,                0.72194,                 1.0475,                 0.3444,                 1.0011,              0.0079012,              0.0079012,              0.0079012
                    109,                  0.979,                0.42469,                0.99625,                0.98261,                0.96304,                0.98519,                0.72211,                 1.0476,                0.34413,                 1.0005,              0.0078814,              0.0078814,              0.0078814
                    110,                0.97201,                0.42168,                 1.0056,                0.98116,                 0.9625,                 0.9851,                0.72142,                 1.0478,                0.34425,                 1.0009,              0.0078616,              0.0078616,              0.0078616
                    111,                0.97184,                0.42363,                0.99701,                0.98117,                0.96264,                 0.9851,                0.72175,                 1.0479,                0.34431,                 1.0009,              0.0078418,              0.0078418,              0.0078418
                    112,                0.97122,                0.42188,                      1,                0.98117,                0.96264,                0.98512,                0.72215,                  1.048,                0.34388,                 1.0007,               0.007822,               0.007822,               0.007822
                    113,                0.97215,                0.42158,                0.99519,                0.98106,                 0.9625,                0.98528,                0.72232,                 1.0481,                0.34362,                 1.0003,              0.0078022,              0.0078022,              0.0078022
                    114,                0.96701,                0.42098,                 1.0012,                0.98088,                 0.9625,                0.98496,                0.72202,                 1.0481,                0.34373,                 1.0005,              0.0077824,              0.0077824,              0.0077824
                    115,                0.96856,                0.41852,                0.99657,                0.98071,                0.96196,                0.98482,                0.72104,                 1.0481,                 0.3431,                 1.0004,              0.0077626,              0.0077626,              0.0077626
                    116,                0.96766,                0.41826,                0.99773,                0.97938,                0.96196,                0.98482,                 0.7206,                 1.0482,                0.34271,                 1.0005,              0.0077428,              0.0077428,              0.0077428
                    117,                0.97145,                0.42136,                 0.9967,                0.98081,                0.96196,                0.98474,                0.72167,                 1.0483,                0.34277,                 1.0005,               0.007723,               0.007723,               0.007723
                    118,                0.97028,                0.41924,                0.99947,                0.98071,                0.96196,                0.98475,                0.72145,                 1.0484,                0.34279,                 1.0007,              0.0077032,              0.0077032,              0.0077032
                    119,                0.96953,                 0.4184,                  1.008,                 0.9809,                0.96196,                0.98478,                0.72209,                 1.0486,                0.34286,                 1.0009,              0.0076834,              0.0076834,              0.0076834
                    120,                0.96358,                0.41724,                0.99681,                 0.9811,                0.96196,                0.98479,                0.72124,                 1.0485,                0.34263,                  1.001,              0.0076636,              0.0076636,              0.0076636
                    121,                0.96519,                0.41928,                0.99938,                0.98115,                0.96195,                0.98483,                0.72121,                 1.0484,                0.34272,                 1.0011,              0.0076438,              0.0076438,              0.0076438
                    122,                0.96446,                0.41649,                0.99092,                0.98196,                0.96196,                0.98485,                0.72087,                 1.0485,                0.34258,                  1.001,               0.007624,               0.007624,               0.007624
                    123,                0.96314,                0.41453,                0.99835,                0.98215,                0.96196,                0.98483,                0.72063,                 1.0486,                 0.3425,                 1.0014,              0.0076042,              0.0076042,              0.0076042
                    124,                0.96636,                  0.415,                0.99585,                0.98176,                0.96196,                0.98488,                0.72067,                 1.0489,                0.34231,                 1.0015,              0.0075844,              0.0075844,              0.0075844
                    125,                0.96085,                0.41898,                0.99058,                0.98185,                0.96196,                  0.985,                0.72062,                 1.0489,                0.34186,                 1.0014,              0.0075646,              0.0075646,              0.0075646
                    126,                0.96207,                0.41761,                 0.9892,                0.98225,                0.96217,                0.98492,                0.72131,                  1.049,                0.34178,                 1.0012,              0.0075448,              0.0075448,              0.0075448
                    127,                 0.9619,                0.41954,                0.99228,                0.98261,                0.96304,                0.98512,                0.72109,                  1.049,                0.34189,                  1.001,               0.007525,               0.007525,               0.007525
                    128,                0.96072,                0.41695,                 0.9923,                0.98274,                0.96304,                 0.9851,                0.72057,                 1.0491,                0.34153,                 1.0009,              0.0075052,              0.0075052,              0.0075052
                    129,                 0.9609,                0.41491,                0.99115,                0.98226,                0.96269,                0.98512,                0.72039,                 1.0492,                0.34126,                 1.0008,              0.0074854,              0.0074854,              0.0074854
                    130,                0.95886,                0.41549,                0.98958,                0.98225,                0.96258,                0.98528,                   0.72,                 1.0494,                0.34104,                 1.0007,              0.0074656,              0.0074656,              0.0074656
                    131,                0.96053,                0.41539,                0.99462,                0.98225,                0.96255,                0.98532,                0.72046,                 1.0496,                0.34085,                 1.0009,              0.0074458,              0.0074458,              0.0074458
                    132,                 0.9549,                0.41434,                0.98921,                0.98225,                0.96257,                0.98529,                0.71948,                 1.0495,                0.34074,                 1.0008,               0.007426,               0.007426,               0.007426
                    133,                0.95479,                0.41096,                0.98969,                0.98225,                0.96257,                0.98537,                0.71968,                 1.0497,                 0.3406,                 1.0007,              0.0074062,              0.0074062,              0.0074062
                    134,                0.95688,                0.41432,                0.98694,                0.98225,                0.96263,                0.98542,                0.72005,                 1.0498,                0.34023,                 1.0004,              0.0073864,              0.0073864,              0.0073864
                    135,                 0.9578,                0.41609,                0.98688,                0.98225,                0.96266,                 0.9854,                0.72004,                 1.0498,                0.33979,                0.99991,              0.0073666,              0.0073666,              0.0073666
                    136,                 0.9537,                0.41305,                0.98899,                 0.9828,                0.96251,                0.98529,                0.72065,                 1.0501,                0.33969,                0.99949,              0.0073468,              0.0073468,              0.0073468
                    137,                0.95166,                0.41056,                0.98656,                 0.9828,                0.96246,                0.98533,                0.72127,                 1.0502,                0.33977,                0.99881,               0.007327,               0.007327,               0.007327
                    138,                0.95287,                0.41176,                 0.9846,                0.98225,                0.96225,                0.98549,                0.72184,                 1.0504,                0.33955,                0.99853,              0.0073072,              0.0073072,              0.0073072
                    139,                0.94795,                0.41104,                 0.9845,                0.98236,                0.96196,                0.98553,                 0.7212,                 1.0506,                0.33951,                0.99826,              0.0072874,              0.0072874,              0.0072874
                    140,                0.95215,                0.41197,                0.98997,                0.98279,                0.96226,                0.98551,                0.72083,                 1.0511,                0.33923,                0.99812,              0.0072676,              0.0072676,              0.0072676
                    141,                0.95183,                0.40968,                0.98649,                0.98333,                0.96205,                0.98551,                0.72149,                 1.0511,                0.33926,                0.99753,              0.0072478,              0.0072478,              0.0072478
                    142,                0.95476,                0.41088,                0.98771,                0.98119,                0.96369,                0.98552,                 0.7217,                 1.0512,                0.33944,                0.99717,               0.007228,               0.007228,               0.007228
                    143,                0.95326,                0.41451,                0.99591,                0.98225,                 0.9626,                 0.9856,                0.72113,                 1.0515,                0.33921,                 0.9972,              0.0072082,              0.0072082,              0.0072082
                    144,                0.95443,                0.41164,                0.99173,                0.98172,                0.96298,                0.98558,                0.72176,                 1.0516,                0.33908,                0.99698,              0.0071884,              0.0071884,              0.0071884
                    145,                0.94646,                0.41037,                0.98673,                0.98386,                0.96096,                0.98557,                0.72146,                 1.0517,                0.33906,                0.99697,              0.0071686,              0.0071686,              0.0071686
                    146,                0.94681,                 0.4065,                 0.9884,                0.98441,                0.96103,                0.98546,                 0.7215,                  1.052,                0.33894,                0.99688,              0.0071488,              0.0071488,              0.0071488
                    147,                0.95369,                0.41172,                0.98908,                0.98498,                0.96207,                0.98544,                0.72076,                 1.0522,                0.33871,                0.99661,               0.007129,               0.007129,               0.007129
                    148,                0.94591,                0.40927,                0.99364,                0.98441,                0.96113,                0.98545,                0.72111,                 1.0527,                 0.3387,                0.99681,              0.0071092,              0.0071092,              0.0071092
                    149,                0.94322,                0.40613,                0.98642,                0.98407,                0.96196,                0.98529,                0.72111,                 1.0531,                0.33884,                0.99697,              0.0070894,              0.0070894,              0.0070894
                    150,                0.94298,                0.40924,                0.98466,                0.98443,                0.96232,                0.98525,                0.72099,                 1.0535,                0.33856,                0.99689,              0.0070696,              0.0070696,              0.0070696
                    151,                0.95013,                0.40847,                0.98832,                 0.9846,                0.96196,                0.98492,                 0.7201,                 1.0539,                0.33843,                0.99678,              0.0070498,              0.0070498,              0.0070498
                    152,                0.93968,                0.40773,                0.98929,                0.98554,                0.96337,                0.98499,                0.72045,                 1.0543,                0.33859,                0.99685,                0.00703,                0.00703,                0.00703
                    153,                0.94436,                0.40888,                0.98211,                0.98554,                0.96299,                0.98504,                0.72089,                 1.0547,                0.33825,                0.99653,              0.0070102,              0.0070102,              0.0070102
                    154,                0.94014,                0.40578,                0.98504,                0.98553,                0.96259,                0.98511,                 0.7198,                 1.0553,                0.33881,                0.99652,              0.0069904,              0.0069904,              0.0069904
                    155,                0.93787,                0.40649,                 0.9794,                0.98552,                0.96186,                0.98518,                0.71991,                 1.0555,                0.33868,                0.99618,              0.0069706,              0.0069706,              0.0069706
                    156,                 0.9382,                0.40577,                0.98692,                0.98498,                0.96197,                0.98517,                0.71973,                  1.056,                0.33823,                0.99599,              0.0069508,              0.0069508,              0.0069508
